system   D            wsystem.c:583  maybe_parent_dir                 [   0.00087] Also searching C:\Dev\Cpp\AllegroLerningApp\
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.33317] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.33382] Glyph 72: 16x18 (16x20)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.33395] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.33397] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:217  alloc_glyph_region               [   3.33467] Glyph 81: 15x18 (16x20)
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.33482] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.33484] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.33607] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.33609] _al_d3d_sync_bitmap (video) ref count == 2
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.87152] removed dtor for object 0417FA38
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.87252] removed dtor for object 0417F7F8
d3d      I         d3d_disp.cpp:921  d3d_destroy_display              [   3.87281] destroying display 007EC2D8 (current 00000000)
bitmap   D             bitmap.c:548  _al_convert_to_memory_bitmap     [   3.87283] converting display bitmap 04216190 to memory bitmap
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   3.87318] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   3.87319] _al_d3d_sync_bitmap (video) ref count == 2
d3d      W          d3d_bmp.cpp:743  d3d_destroy_bitmap               [   3.87384] d3d_destroy_bitmap: Release video texture failed.
d3d      D         d3d_disp.cpp:905  d3d_destroy_display_internals    [   3.87438] waiting for display 007EC2D8's thread to end
d3d      W         d3d_disp.cpp:617  d3d_destroy_device               [   3.87896] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1527 d3d_display_thread_proc          [   3.88462] d3d display thread exits
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.88737] removed dtor for object 04154158
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.88742] removed dtor for object 041543B8
dtor     D               dtor.c:114  _al_run_destructors              [   3.88750] calling dtor for object 04206FF0, func 0FB61B3B
dtor     D               dtor.c:214  _al_unregister_destructor        [   3.88752] removed dtor for object 04206FF0
